STATION,DATE,PRCP,TMAX,TMIN,YEAR,MONTH,DAY,TEMP
USW00094728,1950-05-23,4.6,19.4,11.7,1950,5,23,15.55
USW00094728,1974-09-21,2.0,26.7,13.9,1974,9,21,20.3
USW00023174,1998-12-27,0.0,20.6,6.7,1998,12,27,13.65
USW00013874,1957-10-09,0.0,24.4,11.7,1957,10,9,18.05
USW00094728,1936-06-12,0.0,25.6,18.9,1936,6,12,22.25
USW00023174,1957-01-24,3.0,13.3,8.9,1957,1,24,11.1
USW00023174,1978-10-22,0.0,22.8,16.7,1978,10,22,19.75
USW00094728,1901-09-08,0.0,23.3,15.0,1901,9,8,19.15
USW00094728,1913-04-08,0.0,10.0,0.6,1913,4,8,5.3
USW00094728,1998-11-27,0.0,9.4,5.0,1998,11,27,7.2
USW00094728,1963-10-08,0.0,20.6,13.3,1963,10,8,16.95
USW00094728,1907-08-24,59.4,21.1,16.7,1907,8,24,18.9
USW00013874,1940-02-23,0.0,7.8,-3.9,1940,2,23,1.95
USW00013874,1961-06-17,0.0,17.8,13.9,1961,6,17,15.85
USW00094728,1916-12-10,0.0,5.0,-0.6,1916,12,10,2.2
USW00023174,1961-08-22,0.0,27.8,19.4,1961,8,22,23.6
USW00094728,1959-07-31,0.0,29.4,24.4,1959,7,31,26.9
USW00023174,2006-05-01,0.0,19.4,13.9,2006,5,1,16.65
USW00013874,1940-07-12,0.5,30.0,20.0,1940,7,12,25.0
USW00013874,1947-07-31,0.0,35.0,21.1,1947,7,31,28.05
USW00094728,1919-02-08,1.5,1.7,-0.6,1919,2,8,0.55
USW00094728,1989-01-28,0.0,8.3,0.0,1989,1,28,4.15
USW00094728,1965-01-12,0.0,2.2,-2.2,1965,1,12,0.0
USW00023174,1955-11-29,0.0,15.0,11.7,1955,11,29,13.35
USW00094728,1943-12-28,0.0,5.0,-6.7,1943,12,28,-0.85
USW00023174,2021-09-04,0.0,25.0,16.7,2021,9,4,20.85
USW00094728,1906-10-19,0.8,22.8,16.1,1906,10,19,19.45
USW00094728,1873-10-02,0.0,20.6,11.1,1873,10,2,15.85
USW00023174,1968-10-19,0.0,22.2,15.0,1968,10,19,18.6
USW00094728,1890-01-15,32.0,7.8,0.0,1890,1,15,3.9
USW00023174,1988-07-20,0.0,25.6,18.9,1988,7,20,22.25
USW00023174,1978-08-23,0.0,25.0,15.6,1978,8,23,20.3
USW00094728,1883-11-29,0.0,1.7,-3.3,1883,11,29,-0.8
USW00023174,1988-09-24,0.0,22.2,16.1,1988,9,24,19.15
USW00094728,1963-09-23,0.0,13.9,6.7,1963,9,23,10.3
USW00094728,1892-02-29,2.3,3.3,-1.1,1892,2,29,1.1
USW00094728,1886-02-02,0.0,-3.3,-10.0,1886,2,2,-6.65
USW00094728,2023-12-06,0.0,6.1,0.6,2023,12,6,3.35
USW00094728,1989-09-04,0.0,22.8,12.8,1989,9,4,17.8
USW00023174,1989-07-02,0.0,22.8,16.1,1989,7,2,19.45
USW00094728,1918-12-19,0.0,5.0,-0.6,1918,12,19,2.2
USW00023174,1986-06-26,0.0,20.6,15.6,1986,6,26,18.1
USW00094728,1900-02-27,0.0,-6.1,-15.0,1900,2,27,-10.55
